id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
ts81384,2019,59,"['scifi', 'crime', 'drama', 'action']",1,8.2,123743
ts81184,2019,53,"['drama', 'action', 'crime']",3,7.9,12684
ts104295,2019,27,['comedy'],3,8.2,2078
ts86177,2020,58,"['crime', 'drama', 'thriller', 'fantasy', 'documentation', 'action']",1,7.7,86428
ts214743,2020,54,"['drama', 'comedy', 'reality']",3,7.1,10732
ts85699,2020,56,"['drama', 'thriller', 'crime']",1,7.4,96132
ts39398,2020,59,"['documentation', 'crime']",2,0.0,0
ts82542,2020,42,"['scifi', 'action', 'drama', 'crime', 'fantasy']",3,7.2,19156
ts236846,2020,49,['drama'],2,0.0,0
ts218901,2020,39,"['comedy', 'drama']",2,6.9,3735
ts88636,2019,61,"['war', 'scifi', 'drama']",1,8.3,30848
ts87692,2019,60,"['drama', 'history', 'romance']",2,8.2,14453
ts87041,2019,24,['comedy'],2,7.8,7095
ts288175,2020,11,"['animation', 'comedy']",1,8.5,10519
ts75230,2019,55,"['action', 'crime', 'drama', 'history']",2,8.4,27676
ts223027,2020,59,['reality'],3,8.5,2550
ts236950,2020,31,['drama'],1,8.1,23146
ts88422,2019,24,['comedy'],3,8.1,4986
ts300471,2020,10,"['family', 'animation', 'comedy', 'thriller', 'action']",5,8.0,1519
ts213221,2020,61,"['scifi', 'drama', 'horror', 'thriller']",1,6.4,10455
ts251912,2020,26,['reality'],4,8.3,1053
ts88633,2019,29,"['comedy', 'fantasy', 'horror']",2,7.5,2404
ts80962,2019,24,"['comedy', 'animation']",3,7.4,7712
ts88479,2019,122,['documentation'],1,0.0,0
ts53882,2020,62,"['scifi', 'drama', 'thriller']",1,7.3,10384
ts90742,2019,42,"['scifi', 'action', 'crime', 'drama']",3,3.4,44737
ts251892,2020,13,"['comedy', 'fantasy', 'animation']",2,7.2,938
ts225021,2019,43,"['drama', 'family']",3,6.9,5355
ts255297,2020,27,"['documentation', 'comedy']",2,8.7,9531
ts89040,2019,70,"['documentation', 'crime']",1,7.5,7180
ts88127,2019,68,"['crime', 'documentation']",1,6.7,2649
ts91056,2019,41,"['drama', 'scifi', 'horror', 'fantasy']",4,6.6,9003
ts87563,2019,24,"['action', 'fantasy', 'animation', 'comedy', 'scifi', 'drama']",3,8.1,21808
ts225734,2020,11,['comedy'],2,5.9,716
ts110041,2020,21,['comedy'],3,7.5,5374
ts236745,2020,28,"['drama', 'comedy']",2,7.1,2715
ts102079,2019,28,['comedy'],3,7.5,3191
ts104794,2019,45,"['comedy', 'drama']",2,7.5,2668
ts226505,2020,56,"['documentation', 'crime']",1,7.1,1409
ts252748,2020,45,['reality'],2,7.1,122
ts254749,2020,43,"['drama', 'thriller', 'crime']",1,7.6,6943
ts85815,2019,61,"['drama', 'thriller', 'action', 'crime']",1,7.4,5701
ts78322,2019,59,"['war', 'drama', 'history']",1,6.2,5948
ts272765,2019,43,"['drama', 'crime', 'thriller']",2,7.7,21639
ts105025,2020,57,"['history', 'documentation', 'crime']",1,7.2,8494
