id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
ts37737,2001,24,"['scifi', 'action', 'animation', 'comedy', 'family']",3,6.7,2383
ts52082,2004,90,"['reality', 'music']",1,6.4,5
ts47142,2003,23,"['action', 'scifi', 'animation', 'comedy', 'fantasy']",1,6.9,1728
ts42557,2005,23,"['comedy', 'drama', 'romance', 'animation']",3,7.8,1300
ts76526,2009,22,"['animation', 'family', 'sport']",7,7.4,374
ts28813,2006,47,"['drama', 'comedy']",2,8.0,1074
ts25707,2008,44,['drama'],1,0.0,0
ts34890,2006,23,"['scifi', 'animation', 'family', 'fantasy']",1,7.3,852
ts68313,2007,19,"['family', 'european']",4,6.8,25
ts11110,2006,24,"['scifi', 'animation', 'action']",2,7.3,172
ts24545,2002,22,['reality'],12,6.1,134
ts44797,2010,7,['animation'],4,8.5,7
ts10058,2010,22,"['action', 'animation', 'family', 'documentation']",1,6.0,47
ts32309,2007,22,"['family', 'animation', 'scifi']",1,7.5,105
ts26203,2008,23,"['animation', 'comedy']",1,0.0,0
ts75255,2010,11,"['family', 'animation']",4,7.1,59
ts44381,2010,40,"['drama', 'comedy', 'romance']",3,5.3,367
ts41545,2008,45,[],1,0.0,0
ts32636,2003,10,"['animation', 'family', 'european']",4,6.7,257
ts246865,2001,29,"['comedy', 'family']",1,7.3,15
ts328378,2003,10,[],2,0.0,0
ts68436,2007,16,"['animation', 'comedy', 'family']",2,7.2,86
ts152168,2010,25,"['family', 'action', 'animation']",3,8.8,17
ts43355,2009,13,"['animation', 'comedy', 'family', 'european']",1,8.5,56
ts38969,2005,24,"['animation', 'comedy']",2,8.2,39
ts17364,2006,22,"['scifi', 'family', 'fantasy', 'animation']",3,6.5,626
ts14891,2009,25,['drama'],1,6.8,36
ts31569,2003,22,['documentation'],3,8.3,18
ts74519,2008,52,['documentation'],1,0.0,0
ts28902,2006,48,['documentation'],3,7.7,126
ts10441,2006,11,"['animation', 'fantasy']",3,5.0,111
ts56271,2004,24,['documentation'],1,0.0,0
ts33704,2007,59,"['documentation', 'reality']",1,8.5,81
ts75595,2005,16,['comedy'],1,0.0,0
ts25829,2008,47,['documentation'],3,8.6,55
ts9374,2009,45,"['documentation', 'war']",1,8.4,29
ts45140,2010,27,"['reality', 'family', 'animation']",5,7.9,27
ts74184,2003,25,"['comedy', 'fantasy', 'animation']",1,6.6,142
ts39192,2010,13,['animation'],1,7.5,14
ts29519,2010,22,['reality'],5,0.0,0
ts176695,2009,49,['documentation'],2,7.4,14
ts187948,2001,46,[],1,7.4,21
ts147420,2006,28,[],3,0.0,0
ts155102,2006,55,"['documentation', 'history']",1,7.7,7
ts98222,2006,26,[],1,0.0,0
ts297213,2009,44,['documentation'],1,7.2,61
ts182912,2005,27,"['documentation', 'history']",1,7.8,12
ts127021,2008,11,['documentation'],2,0.0,0
ts154268,2007,27,"['animation', 'family']",1,2.8,7
ts98392,2005,79,['history'],1,8.0,12
ts22277,2011,44,"['drama', 'comedy']",9,8.5,418693
ts5746,2011,45,"['scifi', 'drama', 'thriller', 'crime', 'horror']",11,8.0,304893
ts20518,2011,42,"['scifi', 'drama', 'action', 'fantasy', 'romance', 'thriller', 'comedy']",6,7.7,153629
ts20606,2011,47,"['scifi', 'reality', 'crime', 'drama', 'fantasy', 'horror']",6,7.9,122792
ts20672,2011,22,['comedy'],7,8.1,53384
ts32835,2011,23,"['action', 'drama', 'animation', 'comedy', 'fantasy']",1,9.0,106715
ts14643,2012,41,"['reality', 'romance']",9,7.1,8582
ts2405,2012,19,"['animation', 'family', 'fantasy', 'comedy', 'music']",6,7.5,1272
ts21503,2012,22,['comedy'],6,7.5,33349
ts27862,2012,43,"['reality', 'scifi', 'thriller']",1,5.9,212
ts2767,2012,48,"['drama', 'action', 'crime', 'thriller']",1,7.0,5701
ts27936,2012,21,['comedy'],8,2.8,16
ts34845,2012,61,"['drama', 'european']",2,7.7,12033
ts20433,2012,24,"['animation', 'action', 'thriller', 'comedy', 'drama', 'fantasy', 'horror']",5,8.5,26839
ts20388,2012,27,"['scifi', 'action', 'animation', 'war', 'western', 'crime', 'thriller']",4,8.2,18061
ts10673,2011,44,"['drama', 'scifi', 'fantasy', 'horror']",4,7.5,26055
ts34294,2011,44,"['comedy', 'drama', 'european']",7,7.4,953
ts20389,2012,45,"['action', 'scifi', 'drama']",1,6.5,4700
ts20458,2012,18,"['action', 'comedy', 'family', 'fantasy', 'scifi', 'animation', 'european']",16,7.4,5649
ts10427,2012,46,['drama'],3,6.8,1107
ts11961,2011,40,"['drama', 'comedy', 'reality', 'european']",4,7.8,18481
ts7293,2011,47,['documentation'],30,8.1,457
ts32847,2011,23,['sport'],1,6.6,24
ts33741,2011,22,['comedy'],2,7.6,1405
ts27880,2012,31,"['comedy', 'european']",3,7.5,2578
ts26916,2012,34,['documentation'],1,7.2,172
ts20437,2012,52,"['drama', 'crime']",2,7.6,12915
ts11600,2011,59,"['scifi', 'drama', 'horror', 'fantasy', 'european']",1,7.6,6776
ts42942,2011,47,"['documentation', 'history', 'war', 'european']",2,7.1,82
ts18215,2011,23,"['documentation', 'crime']",4,7.5,79
ts165461,2012,40,['comedy'],1,6.6,22
ts21938,2011,26,"['animation', 'comedy', 'family']",6,7.7,1816
ts22316,2012,44,"['drama', 'thriller', 'european']",1,7.5,2632
ts1086,2011,51,['documentation'],10,8.6,625
